Name,Layout,Features,Availability,MinKeys,MaxKeys,Website,Image,Note
Alice,traditional,single,unavailable,66,66,https://www.taehatypes.com/alice,alice.jpg,
Cherry ErgoPlus MX 5000,traditional,split single,unavailable,89,89,http://xahlee.info/kbd/Cherry_Ergoplus_keyboard.html,CherryErgoPlus.jpg,
Cloud Nine C989,traditional,split single encoder,massproduced,115,115,https://c9ergo.com/products/cloud-nine-c989m-ergonomic-keyboard,cloud-nine-c989.jpg,
Core Mechanics Project 0001,traditional,split,massproduced,90,90,https://core-mechanics.com/produkt/project-0001/,Core-Project-0001.png,
Dygma Raise,traditional,split single,massproduced,68,68,https://www.dygma.com/raise/,Dygma-Raise-Mechanical-Split-Keyboard.jpg,
Fourier 40,traditional,split single,source,45,45,https://keeb.io/collections/frontpage/products/fourier-40-split-staggered-keyboard,Fourier40.jpg,
Kinesis Freestyle Edge RGB,traditional,split,massproduced,99,99,https://gaming.kinesis-ergo.com/edge/,Freestyle-Edge-RGB.png,
Kinesis Freestyle Pro,traditional,split,massproduced,92,92,https://www.kinesis-ergo.com/shop/freestyle-pro/,KinesisFreestylePro.jpg,
Koolertron Split,traditional,split,massproduced,89,89,http://www.koolertron.com/koolertron-programmable-split-mechanical-keyboard-with-cherry-mx-black-switch-all-89-keys-programmable-ergonomic-keypad-8-macro-keys-smkd62cherry-mx-black-switch-game-p-817.html,SmartYaoly092.jpg,
Matias Ergo Pro,traditional,split,massproduced,77,77,https://matias.ca/ergopro/pc/,matias_ergo_pro.jpg,
Mistel Barocco,traditional,split single wireless,massproduced,85,85,https://www.mistelkeyboard.com/,mistel-barocco.jpg,
Mistel Classic,traditional,split single,massproduced,62,62,https://www.mistelkeyboard.com/,MistelClassic.jpg,
NEK Type A,traditional,single wireless,source,88,88,https://github.com/ecopoesis/nek-type-a,NEKTypeA.jpg,
Quefrency Rev. 1,traditional,split single,kit,63,72,https://keeb.io/products/quefrency-60-65-split-staggered-keyboard,QuefrencyR1.jpg,
Quefrency Rev. 2,traditional,split single encoder,kit,78,83,https://keeb.io/collections/split-keyboard-parts/products/quefrency-rev-2-60-65-split-staggered-keyboard,QuefrencyR2.jpg,
SMK62,traditional,split single,assembled,62,62,https://www.aliexpress.com/i/4000263124524.html,SMK62.jpg,
Sinc,traditional,split single encoder,kit,94,100,https://keeb.io/products/sinc-split-staggered-75-keyboard,Sinc.jpg,
Ultimate Hacking Keyboard v2,traditional,split single display track,massproduced,63,66,https://ultimatehackingkeyboard.com,Ultimatehackingkeyboardv2.jpg,
Ultimate Hacking Keyboard,traditional,split single display track,unavailable,63,66,https://ultimatehackingkeyboard.com,Ultimatehackingkeyboard.jpg,
VE.A,traditional,split single,unavailable,96,96,https://www.massdrop.com/buy/ve-a,VEA.jpg,
YMDK/<abbr lang="zh" title="Wheatfield">麦田外设</abbr> Split 75%,traditional,split single,assembled kit,96,96,https://www.aliexpress.com/item/33006060286.html,wheatfield_s75.jpg,麦田外设 means Wheatfield peripherals
